019-06-10 01:22:56,799 | coco.py    | line 260: evaluate segmentation:
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.29903
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.44001
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.70717
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.47496
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.55033
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.66961
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.63753
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.51048
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.57698
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.75785
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.58650
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.54156
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.35234
2019-06-10 01:22:56,804 | coco.py    | line 266: 0.54284
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.28537
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.61653
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.40438
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.69229
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.60948
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.64176
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.55473
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.47424
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.58163
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.48656
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.56713
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.45597
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.43192
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.47133
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.66569
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.39187
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.56524
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.45044
